cluster_id	group
0	good
1	mua
2	good
3	mua
4	good
5	good
6	good
7	good
8	good
9	good
10	good
11	good
12	good
13	mua
14	mua
15	good
16	mua
17	good
18	mua
19	mua
20	good
21	good
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	good
29	good
30	good
31	mua
32	good
33	good
34	good
35	good
36	mua
37	mua
38	good
39	mua
40	good
41	mua
42	good
43	mua
44	mua
45	good
46	mua
47	good
48	good
49	good
50	good
51	mua
52	mua
53	mua
54	good
55	mua
56	mua
57	mua
58	mua
59	mua
60	good
61	mua
62	mua
63	mua
64	mua
65	mua
66	good
67	mua
68	mua
69	mua
70	mua
71	good
72	mua
73	mua
74	mua
75	good
76	good
77	mua
78	good
79	mua
80	good
81	good
82	mua
83	mua
84	mua
85	good
86	good
87	good
88	mua
89	mua
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	good
98	good
99	mua
100	mua
101	good
102	good
103	mua
104	mua
105	mua
106	good
107	mua
108	mua
109	good
110	mua
111	mua
112	mua
113	mua
114	mua
115	good
116	good
117	mua
118	mua
119	good
120	good
121	mua
122	good
123	mua
124	mua
125	mua
126	mua
127	mua
128	good
129	good
130	good
131	good
132	good
133	mua
134	good
135	good
136	mua
137	good
138	good
139	good
140	mua
141	good
142	good
143	good
144	mua
145	mua
146	mua
147	good
148	mua
149	mua
150	good
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	good
159	mua
160	good
161	mua
162	mua
163	good
164	mua
165	mua
166	mua
167	good
168	mua
169	mua
170	good
171	mua
172	good
173	mua
174	good
175	good
176	mua
177	mua
178	good
179	mua
180	good
181	mua
182	mua
183	mua
184	good
185	good
186	mua
187	mua
188	good
189	mua
190	mua
191	good
192	mua
193	mua
194	mua
195	mua
196	good
197	good
198	good
199	good
200	good
201	good
202	good
203	good
204	good
205	mua
206	good
207	good
208	good
209	good
210	mua
211	good
212	mua
213	mua
214	mua
215	good
216	good
217	mua
218	mua
219	good
220	mua
221	mua
222	mua
223	mua
224	mua
225	good
226	good
227	mua
228	good
229	good
230	good
231	mua
232	good
233	good
234	good
235	good
236	mua
237	good
238	good
239	mua
240	good
241	good
242	mua
243	mua
244	good
245	mua
246	good
247	good
248	good
249	mua
250	good
251	good
252	good
253	good
254	good
255	good
256	good
257	mua
258	mua
259	good
260	mua
261	good
262	mua
263	mua
264	mua
265	good
266	good
267	good
268	good
269	mua
270	mua
271	good
272	mua
273	good
274	good
275	good
276	mua
277	mua
278	good
279	mua
280	mua
281	mua
282	mua
283	good
284	mua
285	good
286	mua
287	good
288	good
289	good
290	good
291	good
292	good
293	mua
294	good
295	mua
296	mua
297	mua
298	good
299	mua
300	good
301	mua
302	mua
303	mua
304	mua
305	good
306	mua
307	mua
308	good
309	mua
310	good
311	good
312	mua
313	mua
314	mua
315	mua
316	mua
317	good
318	mua
319	mua
320	mua
321	mua
322	good
323	mua
324	good
325	mua
326	good
327	mua
328	good
329	mua
330	mua
331	mua
332	good
333	good
334	good
335	good
336	mua
337	good
338	mua
339	mua
340	good
341	good
342	mua
343	good
344	good
345	mua
346	good
347	mua
348	mua
349	mua
350	good
351	good
352	good
353	mua
354	mua
355	mua
356	good
357	mua
358	good
359	mua
360	mua
361	good
362	good
363	good
364	good
365	mua
366	mua
367	good
368	mua
369	good
370	good
371	good
372	mua
373	good
374	good
375	mua
376	good
377	mua
378	mua
379	good
380	good
381	good
382	good
383	good
384	mua
385	good
386	good
387	mua
388	mua
389	good
390	mua
391	mua
392	good
393	good
394	good
395	good
396	good
397	mua
398	mua
399	good
400	good
401	good
402	good
403	good
404	mua
405	mua
406	good
407	mua
408	mua
409	good
410	good
411	mua
412	mua
413	good
414	good
415	good
416	mua
417	good
418	mua
419	good
420	good
421	good
422	mua
423	mua
424	good
425	good
426	mua
427	good
428	good
429	good
430	good
431	good
432	mua
433	good
434	mua
435	mua
436	good
437	good
438	good
439	good
440	mua
441	mua
442	mua
443	good
444	mua
445	mua
446	good
447	good
448	mua
449	good
450	good
451	good
452	mua
453	good
454	mua
455	mua
456	good
457	mua
458	good
459	mua
460	mua
461	good
462	mua
463	mua
464	good
465	mua
466	good
467	mua
468	mua
469	good
470	mua
471	good
472	mua
473	mua
474	good
475	good
476	good
477	mua
478	mua
479	mua
480	mua
481	mua
482	good
483	mua
484	mua
485	mua
486	good
487	good
488	good
489	good
490	good
491	good
492	good
493	mua
494	mua
495	mua
496	good
497	mua
498	good
499	mua
500	good
501	mua
502	mua
503	mua
504	mua
505	mua
506	mua
507	good
508	good
509	mua
510	mua
511	good
512	good
513	good
514	good
515	good
516	mua
517	good
518	mua
519	good
520	mua
521	good
522	mua
523	mua
524	mua
525	mua
526	mua
527	good
528	mua
529	mua
530	good
531	good
532	good
533	mua
534	mua
535	mua
536	mua
537	good
538	good
539	good
540	good
541	mua
542	good
543	mua
544	good
545	mua
546	mua
547	mua
548	mua
549	mua
550	mua
551	good
552	good
553	mua
554	mua
555	mua
556	good
557	good
558	good
559	good
560	good
561	good
562	mua
563	good
564	good
565	mua
