cluster_id	group
0	mua
1	mua
2	mua
3	good
4	mua
5	good
6	good
7	good
8	good
9	good
10	mua
11	good
12	mua
13	good
14	good
15	good
16	mua
17	mua
18	good
19	good
20	good
21	good
22	good
23	mua
24	good
25	mua
26	mua
27	good
28	good
29	mua
30	good
31	good
32	mua
33	good
34	good
35	good
36	mua
37	good
38	mua
39	mua
40	good
41	mua
42	mua
43	mua
44	mua
45	mua
46	good
47	mua
48	mua
49	good
50	good
51	mua
52	mua
53	mua
54	mua
55	good
56	mua
57	mua
58	mua
59	mua
60	good
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	good
68	mua
69	mua
70	mua
71	good
72	mua
73	mua
74	mua
75	good
76	good
77	mua
78	good
79	mua
80	good
81	mua
82	good
83	mua
84	good
85	good
86	mua
87	mua
88	good
89	mua
90	mua
91	mua
92	good
93	good
94	good
95	mua
96	mua
97	mua
98	mua
99	good
100	mua
101	good
102	mua
103	mua
104	mua
105	mua
106	mua
107	good
108	mua
109	mua
110	good
111	mua
112	mua
113	good
114	mua
115	mua
116	good
117	mua
118	good
119	mua
120	good
121	mua
122	good
123	mua
124	good
125	mua
126	good
127	mua
128	mua
129	good
130	mua
131	good
132	good
133	good
134	good
135	mua
136	mua
137	good
138	mua
139	good
140	mua
141	good
142	mua
143	good
144	mua
145	mua
146	mua
147	mua
148	good
149	good
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	good
160	mua
161	mua
162	good
163	good
164	good
165	mua
166	mua
167	mua
168	mua
169	mua
170	good
171	mua
172	mua
173	mua
174	mua
175	good
176	mua
177	mua
178	mua
179	good
180	good
181	mua
182	mua
183	mua
184	mua
185	mua
186	good
187	good
188	good
189	mua
190	mua
191	good
192	mua
193	good
194	mua
195	mua
196	mua
197	mua
198	mua
199	good
200	mua
201	mua
202	mua
203	mua
204	good
205	mua
206	good
207	good
208	good
209	good
210	good
211	mua
212	good
213	good
214	good
215	good
216	good
217	good
218	good
219	good
220	good
221	good
222	mua
223	good
224	mua
225	good
226	mua
227	mua
228	mua
229	mua
230	good
231	mua
232	good
233	mua
234	good
235	good
236	good
237	mua
238	good
239	mua
240	mua
241	good
242	mua
243	mua
244	mua
245	good
246	mua
247	good
248	mua
249	mua
250	good
251	good
252	mua
253	mua
254	good
255	good
256	mua
257	mua
258	good
259	mua
260	good
261	mua
262	good
263	good
264	good
265	good
266	mua
267	good
268	mua
269	mua
270	mua
271	mua
272	good
273	good
274	good
275	good
276	good
277	good
278	mua
279	mua
280	mua
281	good
282	mua
283	good
284	mua
285	mua
286	good
287	mua
288	good
289	good
290	mua
291	good
292	mua
293	mua
294	good
295	good
296	mua
297	mua
298	mua
299	mua
300	good
301	mua
302	good
303	good
304	mua
305	mua
306	good
307	good
308	mua
309	good
310	mua
311	good
312	mua
313	good
314	good
315	good
316	good
317	mua
318	good
319	mua
320	mua
321	good
322	good
323	mua
324	good
325	mua
326	good
327	good
328	good
329	good
330	good
331	good
332	mua
333	good
334	good
335	mua
336	mua
337	good
338	good
339	mua
340	good
341	good
342	mua
343	good
344	mua
345	good
346	good
347	mua
348	mua
349	mua
350	mua
351	good
352	mua
353	mua
354	mua
355	mua
356	mua
357	good
358	mua
359	good
360	good
361	mua
362	good
363	good
364	mua
365	good
366	good
367	good
368	good
369	mua
370	good
371	good
372	mua
373	mua
374	good
375	mua
376	mua
377	mua
378	good
379	good
380	mua
381	mua
382	mua
383	mua
384	mua
385	good
386	good
387	mua
388	good
389	good
390	mua
391	good
392	good
393	mua
394	mua
395	good
396	mua
397	mua
398	good
399	good
400	good
401	good
402	mua
403	mua
404	good
405	good
406	mua
407	good
408	mua
409	good
410	good
411	mua
412	mua
413	mua
414	mua
415	good
416	mua
417	good
418	mua
419	mua
420	mua
421	good
422	mua
423	good
424	mua
425	good
426	good
427	mua
428	good
429	good
430	mua
431	mua
432	good
433	mua
434	mua
435	good
436	mua
437	mua
438	good
439	mua
440	mua
441	good
442	mua
443	mua
444	mua
445	mua
446	mua
447	mua
448	good
449	mua
450	mua
451	mua
452	good
453	mua
454	mua
455	good
456	mua
457	mua
458	good
459	mua
460	mua
461	good
462	good
463	good
464	mua
465	mua
466	mua
467	good
468	mua
469	good
470	mua
471	mua
472	mua
473	good
474	good
475	good
476	good
477	mua
478	good
479	good
480	mua
481	good
482	good
483	good
484	mua
485	mua
486	mua
487	mua
488	mua
489	good
490	good
491	mua
492	mua
493	mua
494	mua
495	mua
496	good
497	mua
498	mua
499	mua
500	good
501	good
502	good
503	good
504	mua
505	good
506	good
507	good
508	mua
509	mua
510	mua
511	mua
512	good
513	mua
514	good
515	mua
516	mua
517	mua
518	good
519	mua
520	good
521	good
522	good
523	mua
524	good
525	mua
526	good
527	mua
528	good
529	good
530	mua
531	good
532	good
533	good
534	good
535	good
536	good
537	good
538	good
539	good
540	good
541	good
542	good
543	good
544	good
545	good
546	mua
547	good
548	mua
549	mua
550	good
551	mua
552	mua
553	mua
554	mua
555	mua
556	mua
557	good
558	mua
559	mua
560	good
561	good
562	mua
563	good
564	good
565	mua
566	mua
567	good
568	good
569	mua
570	mua
